Placement,Origin,Destination,Advertiser Origin,Advertiser Destination,Average CPC (USD),Average Rank,First Rank Bid (USD),Third Rank Bid (USD),6th Rank Bid (USD),9th Rank Bid (USD),Est. Clicks,Est. Impressions,Est. Spend (USD)
FlyDealFarePanelDOW_US_FPCMP2,DFW,HYD,DFW,HYD,1.2,1,1.2,1.21,1.21,1.21,0,1,0
FlyDealFarePanelD_US_FPCMP2,JFK,DEL,JFK,DEL,1.17,1.27,1.97,1.18,1.18,1.18,2,16,1.16
FlyDealFarePanelD_US_FPCMP2,SFO,BOM,SFO,BOM,0.95,4.04,3.31,1.21,1.01,0.96,4,15,2.84
FlyDealFarePanelMOW_US_FPCMP2,IAD,JAI,IAD,JAI,0.75,2,1.22,0.76,0.76,0.76,0,3,0
FlyDealFarePanelDOW_US_FPCMP2,CHI,HYD,CHI,HYD,1.2,1,1.2,1.21,1.21,1.21,2,2,1.2
FlyDealFarePanelM_US_FPCMP2,AMD,LAX,AMD,LAX,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,IAH,HYD,IAH,HYD,1,2,1.22,1.01,1.01,1.01,1,9,1
FlyDealFarePanelM_US_FPCMP2,DFW,DEL,DFW,DEL,1,2.75,1.22,1.01,1.01,1.01,0,26,0
FlyDealFarePanelMOW_US_FPCMP2,PHL,BLR,PHL,BLR,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelM_US_FPCMP2,WAS,HYD,WAS,HYD,1,1.58,1.01,1.01,1.01,1.01,0,6,0
FlyDealFarePanelMOW_US_FPCMP2,PBI,COK,PBI,COK,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelM_US_FPCMP2,BOM,JFK,BOM,JFK,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,LAX,BOM,LAX,BOM,0.92,2.4,1.22,1.01,0.93,0.93,0,5,0
